state,facility,district,block,,,
Punjab,HWC Aklian Kalan,Bathinda,Goniana,,,
Punjab,SDH Rampura Phul,Bathinda,Balianwali,,,
Punjab,SDH Ghudda,Bathinda,Sangat,,,
Punjab,SAD Gurunank Nagar,Bathinda,Bathinda,,,
Punjab,SAD Partap Nagar,Bathinda,Bathinda,,,
Punjab,UPHC Phul,Bathinda,Bhagta,,,
Punjab,UPHC Beant Nagar,Bathinda,Bathinda,,,
Punjab,USAD Ganesha Basti,Bathinda,Bathinda,,,
Punjab,UPHC Janta Nagar,Bathinda,Bathinda,,,
Punjab,HWC Mehma Swai,Bathinda,CHC Goniana ,,,
Punjab,HWC Tungwali,Bathinda,CHC Nathana ,,,
Punjab,SAD Rampura Town,Bathinda,Balianwali,,,
Punjab,SAD Rampura Village,Bathinda,Balianwali,,,
Punjab,HWC Jaisinghwala,Bathinda,Sangat,,,
Punjab,HWC Nandgarh,Bathinda,Sangat,,,
Punjab,HWC Pathrala,Bathinda,Sangat,,,
Punjab,HWC Jangi Rana,Bathinda,Sangat,,,
Punjab,HWC Jiwan Singh wala,Bathinda,Talwandi,,,
Punjab,HWC Singo,Bathinda,Talwandi,,,
Punjab,HWC Burj Sema,Bathinda,CHC Nathana ,,,
Punjab,HWC Burj Mehma,Bathinda,CHC Goniana ,,,
Punjab,SAD Kot Fatta Village,Bathinda,Talwandi,,,
Punjab,SAD Namdev Nagar,Bathinda,Bathinda,,,
Punjab,HWC Kotra Kotian Wala,Bathinda,Balianwali,,,
Punjab,HWC Killi Nihalsinghwala,Bathinda,CHC Goniana ,,,
Punjab,HWC Dhingar,Bathinda,Bhagta,,,
Punjab,HWC Pitho,Bathinda,Balianwali,,,
Punjab,HWC Govindpura,Bathinda,Nathana,,,
Punjab,HWC CFSW,Bathinda,Nathana,,,
Punjab,HWC Nahian Wala,Bathinda,Goniana,,,
Punjab,HWC Bir Behman,Bathinda,Goniana,,,
Punjab,HWC Dialpura Bhai Ka,Bathinda,Bhagta,,,
Punjab,HWC Selbrah,Bathinda,Bhagta,,,
Punjab,HWC Lehera Sondha,Bathinda,CHC Nathana ,,,
Punjab,HWC Gumti Klan,Bathinda,Bhagta,,,
Punjab,HWC Ganga,Bathinda,Goniana,,,
Punjab,HWC Lehera Khana,Bathinda,Goniana,,,
Punjab,HWC Gulab Garh,Bathinda,Goniana,,,
Punjab,HWC Sirian Wala,Bathinda,Bhagta,,,
Punjab,HWC Bhunder,Bathinda,Balianwali,,,
Punjab,HWC Baho Yatri,Bathinda,Goniana,,,
Punjab,UPHC Parasram Nagar,Bathinda,Bathinda,,,
Punjab,HWC Bhucho Khurd,Bathinda,Nathana,,,
Punjab,HWC Jassi Bagh Wali,Bathinda,Sangat,,,
Punjab,HWC Behman Diwana,Bathinda,Goniana,,,
Punjab,HWC Maluka,Bathinda,Bhagta,,,
Punjab,HWC Gill Patti,Bathinda,Goniana,,,
Punjab,HWC Sivian,Bathinda,Goniana,,,
Punjab,HWC Harrai Pur,Bathinda,Goniana,,,
Punjab,HWC Chowke,Bathinda,Balianwali,,,
Punjab,HWC Sidhana,Bathinda,Bhagta,,,
Punjab,HWC Chughe kalan,Bathinda,Goniana,,,
Punjab,HWC Naruana,Bathinda,Goniana,,,
Punjab,HWC Bagha,Bathinda,Sangat,,,
Punjab,HWC Shekhu,Bathinda,Sangat,,,
Punjab,HWC Giana,Bathinda,Talwandi,,,
Punjab,HWC Balloh,Bathinda,Balianwali,,,
Punjab,District Hospital Bathinda,Bathinda,Bathinda,,,
Punjab,RH Chak Atarsinghwala,Bathinda,Sangat,,,
Punjab,HWC Ablu,Bathinda,Goniana,,,
Punjab,HWC Rampura Village,Bathinda,Balianwali,,,
Punjab,HWC Jaga Ram Tirath,Bathinda,Talwandi,,,
Punjab,HWC Poohla,Bathinda,Nathana,,,
Punjab,HWC Jethuke,Bathinda,Balianwali,,,
Punjab,UPHC Lal Singh Basti,Bathinda,Bathinda,,,
Punjab,HWC Bhucho Kalan,Bathinda,Nathana,,,
Punjab,HWC Bhokra,Bathinda,Goniana,,,
Punjab,HWC Chak Ruldusinghwala,Bathinda,Sangat,,,
Punjab,HWC Bibiwala,Bathinda,Nathana,,,
Punjab,HWC Shekhpura,Bathinda,Talwandi,,,
Punjab,HWC Deon,Bathinda,Goniana,,,
Punjab,HWC Bhagi Wander,Bathinda,Talwandi,,,
Punjab,HWC Ghuman Klan,Bathinda,Talwandi,,,
Punjab,HWC Jeond,Bathinda,Balianwali,,,
Punjab,HWC Dikh,Bathinda,Balianwali,,,
Maharashtra,PHC Kesalwada HWC Garada,Bhandara,Lakhani,,,
Maharashtra,PHC Nakadongari HWC Chikhla,Bhandara,Tumsar ,,,
Maharashtra,PHC Sarandi BK HWC Mandhal,Bhandara,Lakhandur ,,,
Maharashtra,PHC Gobarwahi HWC Chicholi,Bhandara,Tumsar ,,,
Maharashtra,PHC Betala HWC Mohgaondevi,Bhandara,Mohadi ,,,
Maharashtra,PHC Andhalgaon HWC Kanhalgaon,Bhandara,Mohadi ,,,
Maharashtra,PHC Chulhad HWC Hardoli,Bhandara,Tumsar ,,,
Maharashtra,PHC Dewhadi HWC Bamhani,Bhandara,Tumsar ,,,
Maharashtra,PHC Dewhadi HWC Tamaswadi,Bhandara,Tumsar ,,,
Maharashtra,PHC Gobarwahi HWC Mohgaon Khadan,Bhandara,Tumsar ,,,
Maharashtra,PHC Gobarwahi HWC Sitasawangi,Bhandara,Tumsar ,,,
Maharashtra,PHC Jamb HWC Dhop,Bhandara,Mohadi ,,,
Maharashtra,PHC Jamb HWC Hiwara,Bhandara,Mohadi ,,,
Maharashtra,PHC Jamb HWC Kandri,Bhandara,Mohadi ,,,
Maharashtra,PHC Karadi HWC Nilaj BK,Bhandara,Mohadi ,,,
Maharashtra,PHC Khamari HWC Koka,Bhandara,Bhandara ,,,
Maharashtra,PHC Lendezari HWC Bagheda,Bhandara,Tumsar ,,,
Maharashtra,PHC Lendezari HWC Hardoli,Bhandara,Tumsar ,,,
Maharashtra,PHC Nakadongari HWC Dongri B,Bhandara,Tumsar ,,,
Maharashtra,PHC Nakadongari HWC Kawlewada,Bhandara,Tumsar ,,,
Maharashtra,PHC Sangadi HWC Shivanibandh,Bhandara,Sakoli ,,,
Maharashtra,PHC Warthi HWC Mandesar,Bhandara,Mohadi ,,,
Maharashtra,PHC Lendezari HWC Rongha,Bhandara,Tumsar ,,,
Maharashtra,PHC Sangadi HWC Sawarbandh,Bhandara,Sakoli ,,,
Maharashtra,PHC Shahapur HWC Parsodi,Bhandara,Bhandara ,,,
Maharashtra,PHC Barwha HWC Pimpalgaon,Bhandara,Lakhandur ,,,
Maharashtra,PHC Dighori HWC Manegaon,Bhandara,Lakhandur ,,,
Maharashtra,PHC Barwha HWC Bothali,Bhandara,Lakhandur ,,,
Maharashtra,PHC Dighori HWC Tawashi,Bhandara,Lakhandur ,,,
Maharashtra,PHC Ekodi HWC Bampewada,Bhandara,Sakoli ,,,
Maharashtra,PHC Ekodi HWC Ghanod,Bhandara,Sakoli ,,,
Maharashtra,PHC Ekodi HWC Mundipar,Bhandara,Sakoli ,,,
Maharashtra,PHC Gondumari HWC Mahalgaon,Bhandara,Sakoli ,,,
Maharashtra,PHC Khamba HWC Kinhi,Bhandara,Sakoli ,,,
Maharashtra,PHC Khamba HWC Pindkepar,Bhandara,Sakoli ,,,
Maharashtra,PHC Kudegaon HWC Madeghat,Bhandara,Lakhandur ,,,
Maharashtra,PHC Sangadi HWC Sasra,Bhandara,Sakoli ,,,
Maharashtra,PHC Virshi HWC Sendurwafa,Bhandara,Sakoli ,,,
Maharashtra,PHC Virshi HWC Umari,Bhandara,Sakoli ,,,
Maharashtra,PHC Dewhadi HWC Madagi,Bhandara,Tumsar ,,,
Maharashtra,PHC Muramadi HWC Kolari,Bhandara,Lakhani ,,,
Maharashtra,PHC Sarandi BK HWC Pahungaon,Bhandara,Lakhandur ,,,
Maharashtra,SDH Bhandara,Bhandara,Bhandara ,,,
Maharashtra,CH Bhandara,Bhandara,Bhandara ,,,
Maharashtra,PHC Ekodi HWC Bodra,Bhandara,Sakoli ,,,
Maharashtra,PHC Gondumari HWC Palasgaon,Bhandara,Sakoli ,,,
Maharashtra,PHC Sangadi HWC Kumbhali,Bhandara,Sakoli ,,,
Maharashtra,PHC Lendezari HWC Chikhali,Bhandara,Tumsar ,,,
Maharashtra,PHC Warthi HWC Neri,Bhandara,Mohadi ,,,
Maharashtra,PHC Warthi HWC Sathona,Bhandara,Mohadi ,,,
Maharashtra,PHC Chulhad HWC Temni,Bhandara,Tumsar ,,,
Maharashtra,PHC Gobarwahi HWC Mehegaon,Bhandara,Tumsar ,,,
Maharashtra,PHC Gobarwahi HWC Mitewani,Bhandara,Tumsar ,,,
Maharashtra,PHC Karadi HWC Devhada K,Bhandara,Mohadi ,,,
Maharashtra,PHC Karadi HWC Jambhora,Bhandara,Mohadi ,,,
Maharashtra,PHC Khamba HWC Satalwada,Bhandara,Sakoli ,,,
Maharashtra,PHC Kudegaon HWC Khairi Pat,Bhandara,Lakhandur ,,,
Maharashtra,PHC Kudegaon HWC Moharna,Bhandara,Lakhandur ,,,
Maharashtra,PHC Lendezari HWC Lohara,Bhandara,Tumsar ,,,
Maharashtra,PHC Lendezari HWC Pitesur,Bhandara,Tumsar ,,,
Maharashtra,PHC Mohadura HWC Sirsi,Bhandara,Bhandara ,,,
Maharashtra,PHC Pimpalgaon Sadak HWC Miregaon,Bhandara,Lakhani ,,,
Maharashtra,PHC Sarandi BK HWC Masal,Bhandara,Lakhandur ,,,
Maharashtra,PHC Sarandi BK HWC Tai,Bhandara,Lakhandur ,,,
Maharashtra,PHC Pohara HWC Macharna,Bhandara,Lakhani ,,,
Maharashtra,PHC Kudegaon HWC Puyar,Bhandara,Lakhandur ,,,
Maharashtra,PHC Gondumari HWC Wangi,Bhandara,Sakoli ,,,
Maharashtra,PHC Bhuyar HWC Khapri,Bhandara,Pauni ,,,
Maharashtra,PHC Dighori HWC Dahegaon,Bhandara,Lakhandur ,,,
Maharashtra,PHC Nakadongari HWC Lobhi,Bhandara,Tumsar ,,,
Maharashtra,PHC Virshi HWC Parsodi,Bhandara,Sakoli ,,,
Maharashtra,PHC Bhuyar HWC Amgaon,Bhandara,Pauni ,,,
Maharashtra,PHC Kondha HWC Tirri,Bhandara,Pauni ,,,
Maharashtra,PHC Dewhadi HWC Khapa,Bhandara,Tumsar ,,,
Maharashtra,PHC Kesalwada HWC Gadegaon,Bhandara,Lakhani ,,,
Maharashtra,PHC Asgaon HWC Walni,Bhandara,Pauni ,,,
Maharashtra,PHC Chulhad HWC Paraswada,Bhandara,Tumsar ,,,
Maharashtra,PHC Chulhad HWC Wahani,Bhandara,Tumsar ,,,
Maharashtra,PHC Kesalwada HWC Murmadi,Bhandara,Lakhani ,,,
Maharashtra,PHC Jamb HWC Usarra,Bhandara,Mohadi ,,,
Maharashtra,PHC Dewhadi HWC Paraswada,Bhandara,Tumsar ,,,
Maharashtra,PHC Chullad HWC Baphera,Bhandara,Tumsar ,,,
Maharashtra,PHC Chullad HWC Mohadi Khapa,Bhandara,Tumsar ,,,
Maharashtra,PHC Andhalgaon HWC Wadegaon,Bhandara,Mohadi ,,,
Maharashtra,PHC Sarandi HWC Belathi,Bhandara,Lakhandur ,,,
Maharashtra,PHC Dewhadi HWC Kharbi,Bhandara,Tumsar ,,,
Karnataka,TH Kadur,Chikmagalur,Kadur,,,
Karnataka,PHC Hogarehalli,Chikmagalur,Kadur,,,
Karnataka,Test Facility Chikmagalur,Chikmagalur,Kadur,,,
Karnataka,SC Chikkanallur,Chikmagalur,Kadur,,,
Karnataka,SC K Bidare,Chikmagalur,Kadur,,,
Karnataka,SC Chikkadevanooru,Chikmagalur,Kadur,,,
Maharashtra,PHC Mahagaon HWC Aheri,Gadchiroli,Aheri,,,
Maharashtra,PHC Kamlapur HWC Challewada,Gadchiroli,Aheri,,,
Maharashtra,PHC Godalwahi HWC Salebhatti,Gadchiroli,Dhanora ,,,
Maharashtra,PHC Karwafa HWC Chatgaon,Gadchiroli,Dhanora ,,,
Maharashtra,PHC Mahagaon HWC Nagepalli,Gadchiroli,Aheri,,,
Maharashtra,PHC Kamlapur HWC Repanpalli,Gadchiroli,Aheri,,,
Maharashtra,PHC Ankisa HWC Asaralli,Gadchiroli,Sironcha ,,,
Maharashtra,PHC Bhendala,Gadchiroli,Chamorshi ,,,
Maharashtra,PHC Burgi HWC Gurupalli,Gadchiroli,Etappalli ,,,
Maharashtra,PHC Sundernagar HWC Koparalli,Gadchiroli,Mulchera ,,,
Maharashtra,PHC Lagam HWC Bori,Gadchiroli,Mulchera ,,,
Maharashtra,PHC Todsa HWC Maweli,Gadchiroli,Etappalli ,,,
Maharashtra,PHC Malewada HWC Angara,Gadchiroli,Kurkheda ,,,
Maharashtra,PHC Arewada HWC Kothi,Gadchiroli,Bhamragad ,,,
Punjab,SDH Batala,Gurdaspur,Batala,,,
Punjab,CHC Dera Baba Nanak,Gurdaspur,Dhianpur,,,
Punjab,CHC Ghoman,Gurdaspur,Bham,,,
Punjab,CHC Kot Santhokh Rai,Gurdaspur,Naushehra Majha Singh,,,
Punjab,CHC Singhowal,Gurdaspur,Behrampur,,,
Punjab,CHC Qadian,Gurdaspur,Bham,,,
Punjab,CHC Bham,Gurdaspur,Bham,,,
Punjab,CHC Dhariwal,Gurdaspur,Naushehra Majha Singh,,,
Punjab,CHC Kalanaur,Gurdaspur,Kalanur,,,
Punjab,MPHC Marara,Gurdaspur,Behrampur,,,
Punjab,MPHC Wadala Granthian,Gurdaspur,Bhullar,,,
Punjab,PHC Gunopur,Gurdaspur,Kahnuwan,,,
Punjab,PHC Jaura Chhattra,Gurdaspur,Dorangla,,,
Punjab,PHC Kala Afhgana,Gurdaspur,Fatehgarh Churian,,,
Punjab,PHC Police Hospital,Gurdaspur,Gurdaspur,,,
Punjab,PHC DHARM KOT RANDHAWA,Gurdaspur,Dhianpur,,,
Punjab,HWC Bhikhariwal,Gurdaspur,Kalanur,,,
Punjab,UPHC Gurdaspur,Gurdaspur,Gurdaspur,,,
Punjab,MPHC Gill Manjh,Gurdaspur,Kahnuwan,,,
Punjab,RH Rangar Nangal,Gurdaspur,Bhullar,,,
Punjab,RH Shri Hargobindpur,Gurdaspur,Bham,,,
Punjab,CHC Bhaini Mian Khan,Gurdaspur,Kahnuwan,,,
Punjab,CHC Purana Shalla,Gurdaspur,Ranjit Bag,,,
Punjab,PHC Dhianpur,Gurdaspur,Dhianpur,,,
Punjab,PHC Aliwal,Gurdaspur,Fatehgarh Churian,,,
Punjab,PHC Ranjit Bag,Gurdaspur,Ranjit Bag,,,
Punjab,HWC Langah Jattan,Gurdaspur,Naushehra Majha Singh,,,
Punjab,PHC Behrampur,Gurdaspur,Behrampur,,,
Punjab,HWC Aulakh Kalana,Gurdaspur,Bham,,,
Punjab,HWC Dhapai,Gurdaspur,BHam,,,
Punjab,HWC Pakhowal kullian,Gurdaspur,Ranjit Bag,,,
Punjab,HWC Bhagowal,Gurdaspur,Bhullar,,,
Punjab,MPHC Jharoli,Gurdaspur,Behrampur,,,
Punjab,HWC Dodwan,Gurdaspur,Behrampur,,,
Punjab,HWC Bhandal,Gurdaspur,Kalanur,,,
Punjab,HWC Zafarwal,Gurdaspur,Naushehra Majha Singh,,,
Punjab,CHC Naushera majja Singh(NMS),Gurdaspur,Naushehra Majha Singh,,,
Punjab,HWC Aujla,Gurdaspur,Kalanur,,,
Punjab,HWC Hardocchania,Gurdaspur,Kalanur,,,
Punjab,HWC Talibpur,Gurdaspur,Ranjit Bag,,,
Punjab,HWC Kastiwal,Gurdaspur,Fatehgarh Churian,,,
Punjab,HWC Bal,Gurdaspur,Naushehra Majha Singh,,,
Punjab,HWC Sarafkot,Gurdaspur,Fatehgarh Churian,,,
Punjab,HWC Pabbarali Kalan,Gurdaspur,Fatehgarh Churian,,,
Punjab,HWC Ghot Pokhar,Gurdaspur,Ranjit Bag,,,
Punjab,HWC Ludha Munda,Gurdaspur,Bham,,,
Punjab,HWC Malakpur,Gurdaspur,Bhullar,,,
Punjab,PHC Udanwal,Gurdaspur,Bham,,,
Punjab,HWC Shankarpura,Gurdaspur,Fatehgarh Churian,,,
Punjab,HWC Uccha Dhakala,Gurdaspur,Behrampur,,,
Punjab,HWC Paniar,Gurdaspur,behrampur,,,
Punjab,HWC Gurdasnangal,Gurdaspur,Dorangla,,,
Punjab,HWC Allechak,Gurdaspur,Dorangla,,,
Punjab,HWC Riali Kalan,Gurdaspur,Fatehgarh Churian,,,
Punjab,HWC Awankha,Gurdaspur,Behrampur,,,
Punjab,CHC Kahnuwan,Gurdaspur,Kahnuwan,,,
Punjab,HWC Ramnagar,Gurdaspur,Ranjit Bag,,,
Punjab,HWC Chack Sharif,Gurdaspur,Kahnuwan,,,
Punjab,HWC Nawa Shalla,Gurdaspur,Kahnuwan,,,
Punjab,HWC Sekhwan,Gurdaspur,Kahnuwan,,,
Punjab,HWC Daburi,Gurdaspur,Behrampur,,,
Punjab,HWC Jhabhkara,Gurdaspur,Behrampur,,,
Punjab,HWC Ballpurian,Gurdaspur,Bhullar,,,
Punjab,HWC Saroopwali,Gurdaspur,Dhianpur,,,
Punjab,HWC Jaura Singha,Gurdaspur,Bhullar,,,
Punjab,HWC Manan,Gurdaspur,Bhullar,,,
Punjab,HWC Dayalgarh,Gurdaspur,Bhullar,,,
Punjab,HWC Thind Dhariwal,Gurdaspur,Bhullar,,,
Punjab,HWC Mullawal,Gurdaspur,Kahnuwan,,,
Punjab,HWC Alma,Gurdaspur,Kahnuwan,,,
Punjab,HWC Ghasitpur,Gurdaspur,Bhullar,,,
Punjab,HWC Kahlwan,Gurdaspur,Bham,,,
Punjab,HWC Gahlari,Gurdaspur,Dorangla,,,
Punjab,HWC Kot Todar Mal,Gurdaspur,Kahnuwan,,,
Punjab,HWC Sedowal Kalan,Gurdaspur,kahnuwan,,,
Punjab,HWC Leel Kalan,Gurdaspur,bham,,,
Punjab,HWC Tibber,Gurdaspur,Kahnuwan,,,
Punjab,HWC Bhangowani,Gurdaspur,Naushehra Majha Singh,,,
Punjab,HWC Tugalwal,Gurdaspur,Kahnuwan,,,
Punjab,HWC Hardan,Gurdaspur,Dorangla,,,
Punjab,HWC Abulkhair,Gurdaspur,Dorangla,,,
Punjab,HWC Sadhuchak,Gurdaspur,Dorangla,,,
Punjab,HWC Bhagtana Tullian,Gurdaspur,Dhianpur,,,
Punjab,HWC Rahimabad,Gurdaspur,Dhianpur,,,
Punjab,HWC Choorchak,Gurdaspur,Behrampur,,,
Punjab,HWC Bolewal,Gurdaspur,bham,,,
Punjab,HWC Veela,Gurdaspur,Fatehgarh Churian,,,
Punjab,HWC Jhanda Lubana,Gurdaspur,Kahnuwan,,,
Punjab,HWC Khushalpur,Gurdaspur,Dhianpur,,,
Punjab,HWC Hayat Nagar,Gurdaspur,Dorangla,,,
Punjab,MPHC Babehali,Gurdaspur,Ranjit Bag,,,
Punjab,Sekhwan Jahdpur,Gurdaspur,bhullar,,,
Punjab,HWC Thetharke,Gurdaspur,Dhianpur,,,
Punjab,PHC Bhullar,Gurdaspur,Bhullar,,,
Punjab,MPHC JATO SAUJA,Gurdaspur,Bhullar,,,
Punjab,HWC Dakoha,Gurdaspur,Bham,,,
Punjab,HWC Bhojraj,Gurdaspur,Naushehra Majha Singh,,,
Punjab,HWC Chaunta,Gurdaspur,Behrampur,,,
Punjab,HWC Bharth,Gurdaspur,Behrampur,,,
Punjab,HWC Khokhar,Gurdaspur,Dorangla,,,
Punjab,HWC Kaler Kalan,Gurdaspur,Naushehra Majha Singh,,,
Punjab,District Hospital Gurdaspur,Gurdaspur,Gurdaspur,,,
Punjab,HWC Ghuman Kalan,Gurdaspur,Naushehra Majha Singh,,,
Punjab,HWC Jhawar,Gurdaspur,Dorangla,,,
Punjab,HWC Rania,Gurdaspur,Naushehra Majha Singh,,,
Punjab,HWC Dadwan,Gurdaspur,Naushehra Majha Singh,,,
Punjab,HWC Kahan Malakh,Gurdaspur,Naushehra Majha Singh,,,
Punjab,HWC Lehal,Gurdaspur,Naushehra Majha Singh,,,
Punjab,PHC Bhumbli,Gurdaspur,Naushehra Majha Singh,,,
Punjab,HWC Sohal,Gurdaspur,Naushehra Majha Singh,,,
Punjab,HWC Babri Nangal,Gurdaspur,Naushehra Majha Singh,,,
Punjab,HWC Rorawali,Gurdaspur,Naushehra Majha Singh,,,
Punjab,HWC Naushehra Bahadur,Gurdaspur,Ranjit Bag,,,
Punjab,HWC Bains Gurala,Gurdaspur,Ranjit Bag,,,
Punjab,HWC Pandher,Gurdaspur,Ranjit Bag,,,
Punjab,HWC Talwandi Virk,Gurdaspur,Ranjit Bag,,,
Punjab,HWC Sahari,Gurdaspur,Naushehra Majha Singh,,,
Punjab,HWC Talwandi Rama,Gurdaspur,Dhianpur,,,
Punjab,UPHC Batala,Gurdaspur,batala,,,
Punjab,HWC Gaji Kot,Gurdaspur,Ranjit Bag,,,
